Product_id,Rank
AVqkIhwDv8e3D1O-lebb,4
AVqVGZO3nnc1JgDc3jGK,4
AVpe9CMS1cnluZ0-aoC5,4
AVpfBEWcilAPnD_xTGb7,3
AVqkIiKWnnc1JgDc3khH,4
AVqkIj9snnc1JgDc3khU,4
AVsRjfwAU2_QcyX9PHqe,4
AVqVGZNvQMlgsOJE6eUY,4
AVpfwS_CLJeJML43DH5w,3
AVphgVaX1cnluZ0-DR74,4
AVqVGZN9QMlgsOJE6eUZ,4
AVpftoij1cnluZ0-p5n2,4
AVqkIhxunnc1JgDc3kg_,5
AVpioXbb1cnluZ0-PImd,4
AVpff7_VilAPnD_xc1E_,3
AVpjEN4jLJeJML43rpUe,4
AVpg3q4RLJeJML43TxA_,3
AVqVGWLKnnc1JgDc3jF1,4
AV1YnRtnglJLPUi8IJmV,4
AVphPmHuilAPnD_x3E5h,4
AVzvXXxbvKc47QAVfRhy,5
AVpe7AsMilAPnD_xQ78G,4
AVph0EeEilAPnD_x9myq,4
AVqkIdntQMlgsOJE6fuB,4
AVzRlorb-jtxr-f3ygvQ,4
AVqVGWQDv8e3D1O-ldFr,4
AVzvXXwEvKc47QAVfRhx,3
AVpgdkC8ilAPnD_xsvyi,4
AV1YnR7wglJLPUi8IJmi,4
AVpfl8cLLJeJML43AE3S,4
AVqkEM34QMlgsOJE6e8q,5
AVzoGHhAglJLPUi8GfzY,4
AVpfIfGA1cnluZ0-emyp,4
AVphLY7v1cnluZ0-_Ty0,3
AVpf_4sUilAPnD_xlwYV,3
AVpidLjVilAPnD_xEVpI,4
AVpfpK8KLJeJML43BCuD,4
AVpe8PEVilAPnD_xRYIi,3
AV1YE_muvKc47QAVgpwE,4
AVpf_znpilAPnD_xlvAF,3
AVpggqsrLJeJML43O5zp,4
AVpfiBlyLJeJML43-4Tp,2
